2026-02-13 10:49:40,1,2
2026-02-13 10:49:40,2,3
2026-02-13 10:49:40,3,1
2026-02-13 10:49:40,4,2
2026-02-13 10:49:40,5,3
2026-02-13 10:49:41,6,1
2026-02-13 10:49:41,7,2
2026-02-13 10:49:41,8,3
2026-02-13 10:49:41,9,1
2026-02-13 10:49:41,10,2
2026-02-13 10:49:42,11,3
2026-02-13 10:49:42,12,1
2026-02-13 10:49:42,13,2
2026-02-13 10:49:42,14,3
2026-02-13 10:49:42,15,1
2026-02-13 10:49:42,16,2
2026-02-13 10:49:42,17,3
2026-02-13 10:49:42,18,1
2026-02-13 10:49:43,19,2
2026-02-13 10:49:43,20,3
2026-02-13 10:49:43,21,1
2026-02-13 10:49:43,22,2
2026-02-13 10:49:44,23,3
2026-02-13 10:49:44,24,1
2026-02-13 10:49:44,25,2
2026-02-13 10:49:44,26,3
2026-02-13 10:49:44,27,1
2026-02-13 10:49:44,28,2
2026-02-13 10:49:45,29,3
2026-02-13 10:49:45,30,1
2026-02-13 10:49:45,31,2
2026-02-13 10:49:45,32,3
2026-02-13 10:49:45,33,1
2026-02-13 10:49:45,34,2
2026-02-13 10:49:45,35,3
2026-02-13 10:49:45,36,1
2026-02-13 10:49:45,37,2
